Action,Package Name,Package Name Sup
disable,com.netflix.mediaclient,com.netflix.mediaclient
disable,com.samsung.android.spaymini,com.samsung.android.spaymini
disable,com.microsoft.office.outlook,com.google.android.gm
disable,com.google.android.apps.photos,com.google.android.apps.tachyon
disable,com.google.android.gm,com.google.android.apps.messaging
disable,com.sec.android.gallery3d,com.mygalaxy
disable,com.sec.android.app.sbrowser,com.google.android.tts
disable,com.google.android.apps.tachyon,com.google.android.googlequicksearchbox
disable,com.google.android.apps.messaging,com.google.android.projection.gearhead
disable,com.snapchat.android,com.sec.android.app.clockpackage
disable,com.google.android.apps.youtube.music,com.google.android.apps.restore
disable,com.mygalaxy,com.android.vending
disable,com.sec.android.app.popupcalculator,com.opera.max.oem
disable,com.google.android.apps.docs,com.samsung.cmfa.AuthTouch
disable,com.google.android.tts,com.facebook.katana
disable,com.google.android.googlequicksearchbox,com.samsung.android.app.spage
disable,com.google.android.projection.gearhead,com.samsung.android.game.gamehome
disable,com.samsung.android.voc,com.samsung.android.lool
disable,com.sec.android.app.clockpackage,com.eterno.shortvideos
disable,com.linkedin.android,com.android.chrome
disable,com.google.android.apps.restore,com.samsung.ecomm.global.in
disable,com.android.vending,com.samsung.android.scloud
disable,com.opera.max.oem,com.sec.spp.push
disable,com.sec.android.app.voicenote,com.google.android.apps.maps
disable,com.samsung.cmfa.AuthTouch,com.google.android.youtube
disable,com.facebook.katana,com.microsoft.skydrive
disable,com.samsung.sree,com.samsung.android.cmfa.framework
disable,com.samsung.android.app.spage,com.samsung.android.peripheral.framework
disable,com.samsung.android.game.gamehome,
disable,com.samsung.android.lool,
disable,com.eterno.shortvideos,
disable,com.android.chrome,
disable,com.samsung.ecomm.global.in,
disable,com.microsoft.office.officehubrow,
disable,com.samsung.android.scloud,
disable,com.sec.spp.push,
disable,com.google.android.apps.maps,
disable,com.samsung.android.messaging,
disable,com.google.android.youtube,
disable,com.amazon.avod.thirdpartyclient,
disable,com.microsoft.skydrive,
disable,in.amazon.mShop.android.shopping,
disable,com.samsung.android.cmfa.framework,
disable,com.samsung.android.peripheral.framework,
disable,com.eterno,
disable,com.truecaller.callerid.callername,
